starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 27 14:20:05 2016	1453900805	1	267	268	267
Wed Jan 27 14:20:05 2016	1453900805	1	279	280	279
Wed Jan 27 14:20:05 2016	1453900805	1	315	316	315
Wed Jan 27 14:20:05 2016	1453900805	1	330	331	330
Wed Jan 27 14:20:05 2016	1453900805	1	362	363	361
Wed Jan 27 14:20:05 2016	1453900805	1	373	374	373
Wed Jan 27 14:20:05 2016	1453900805	1	408	409	407
Wed Jan 27 14:20:05 2016	1453900805	1	421	422	420
Wed Jan 27 14:20:05 2016	1453900805	1	453	454	453
Wed Jan 27 14:20:05 2016	1453900805	1	469	471	469
Wed Jan 27 14:20:05 2016	1453900805	2	500	502	500
Wed Jan 27 14:20:05 2016	1453900805	2	517	519	517
Wed Jan 27 14:20:05 2016	1453900805	2	547	549	547
Wed Jan 27 14:20:05 2016	1453900805	2	564	566	564
Wed Jan 27 14:20:05 2016	1453900805	2	593	595	593
Wed Jan 27 14:20:05 2016	1453900805	2	613	615	613
Wed Jan 27 14:20:05 2016	1453900805	2	640	642	640
Wed Jan 27 14:20:05 2016	1453900805	2	659	660	659
Wed Jan 27 14:20:05 2016	1453900805	2	687	689	687
Wed Jan 27 14:20:05 2016	1453900805	2	704	706	704
Wed Jan 27 14:20:05 2016	1453900805	2	735	737	734
Wed Jan 27 14:20:05 2016	1453900805	2	756	758	756
Wed Jan 27 14:20:05 2016	1453900805	2	782	784	782
Wed Jan 27 14:20:05 2016	1453900805	2	806	808	806
Wed Jan 27 14:20:05 2016	1453900805	2	830	832	830
Wed Jan 27 14:20:05 2016	1453900805	2	849	852	849
Wed Jan 27 14:20:05 2016	1453900805	2	890	892	890
Wed Jan 27 14:20:05 2016	1453900805	2	918	920	918
Wed Jan 27 14:20:05 2016	1453900805	2	948	950	947
Wed Jan 27 14:20:05 2016	1453900805	2	966	968	966
Wed Jan 27 14:20:05 2016	1453900805	2	989	991	989
Wed Jan 27 14:20:05 2016	1453900805	2	1026	1029	1026
Wed Jan 27 14:20:05 2016	1453900805	2	1029	1032	1029
Wed Jan 27 14:20:05 2016	1453900805	2	1059	1061	1059
Wed Jan 27 14:20:05 2016	1453900805	2	1101	1103	1101
Wed Jan 27 14:20:05 2016	1453900805	2	1102	1104	1102
Wed Jan 27 14:20:05 2016	1453900805	3	1127	1130	1127
