starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 27 14:17:18 2016	1453900638	0	24	24	23
Wed Jan 27 14:17:17 2016	1453900637	0	29	29	29
Wed Jan 27 14:17:21 2016	1453900641	0	31	31	30
Wed Jan 27 14:17:15 2016	1453900635	0	32	32	31
Wed Jan 27 14:17:15 2016	1453900635	0	32	32	32
Wed Jan 27 14:17:24 2016	1453900644	0	34	34	34
Wed Jan 27 14:17:17 2016	1453900637	0	34	34	34
Wed Jan 27 14:17:18 2016	1453900638	0	35	35	35
Wed Jan 27 14:17:20 2016	1453900640	0	36	36	36
Wed Jan 27 14:17:22 2016	1453900642	0	38	38	38
Wed Jan 27 14:17:20 2016	1453900640	0	39	39	38
Wed Jan 27 14:17:16 2016	1453900636	0	39	40	39
Wed Jan 27 14:17:19 2016	1453900639	0	40	40	40
Wed Jan 27 14:17:24 2016	1453900644	0	40	40	40
Wed Jan 27 14:17:16 2016	1453900636	0	40	40	40
Wed Jan 27 14:17:20 2016	1453900640	0	40	40	40
Wed Jan 27 14:17:21 2016	1453900641	0	40	40	40
Wed Jan 27 14:17:19 2016	1453900639	0	41	41	40
Wed Jan 27 14:17:15 2016	1453900635	0	41	41	41
Wed Jan 27 14:17:14 2016	1453900634	0	41	41	41
Wed Jan 27 14:17:19 2016	1453900639	0	41	41	41
Wed Jan 27 14:17:15 2016	1453900635	0	42	42	41
Wed Jan 27 14:17:14 2016	1453900634	0	42	42	42
Wed Jan 27 14:17:19 2016	1453900639	0	42	42	42
Wed Jan 27 14:17:20 2016	1453900640	0	42	42	42
Wed Jan 27 14:17:24 2016	1453900644	0	42	42	42
Wed Jan 27 14:17:22 2016	1453900642	0	42	42	42
Wed Jan 27 14:17:23 2016	1453900643	0	42	42	42
Wed Jan 27 14:17:17 2016	1453900637	0	42	42	42
Wed Jan 27 14:17:21 2016	1453900641	0	42	42	42
Wed Jan 27 14:17:17 2016	1453900637	0	42	42	42
Wed Jan 27 14:17:17 2016	1453900637	0	42	42	42
Wed Jan 27 14:17:19 2016	1453900639	0	42	43	42
Wed Jan 27 14:17:15 2016	1453900635	0	42	43	42
Wed Jan 27 14:17:17 2016	1453900637	0	43	43	42
Wed Jan 27 14:17:14 2016	1453900634	0	43	43	42
Wed Jan 27 14:17:22 2016	1453900642	0	43	43	43
Wed Jan 27 14:17:18 2016	1453900638	0	43	43	43
Wed Jan 27 14:17:13 2016	1453900633	0	43	43	43
Wed Jan 27 14:17:16 2016	1453900636	0	43	43	43
Wed Jan 27 14:17:23 2016	1453900643	0	43	43	43
Wed Jan 27 14:17:20 2016	1453900640	0	43	43	43
Wed Jan 27 14:17:13 2016	1453900633	0	43	43	43
Wed Jan 27 14:17:14 2016	1453900634	0	43	43	43
Wed Jan 27 14:17:16 2016	1453900636	0	43	43	43
Wed Jan 27 14:17:14 2016	1453900634	0	43	43	43
Wed Jan 27 14:17:23 2016	1453900643	0	43	43	43
Wed Jan 27 14:17:21 2016	1453900641	0	43	43	43
Wed Jan 27 14:17:24 2016	1453900644	0	43	43	43
Wed Jan 27 14:17:18 2016	1453900638	0	43	43	43
Wed Jan 27 14:17:18 2016	1453900638	0	43	43	43
Wed Jan 27 14:17:24 2016	1453900644	0	43	43	43
Wed Jan 27 14:17:23 2016	1453900643	0	43	44	43
Wed Jan 27 14:17:20 2016	1453900640	0	43	44	43
Wed Jan 27 14:17:16 2016	1453900636	0	43	44	43
