starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 27 14:19:46 2016	1453900786	0	159	159	159
Wed Jan 27 14:19:00 2016	1453900740	0	182	182	181
Wed Jan 27 14:18:28 2016	1453900708	0	188	188	187
Wed Jan 27 14:18:46 2016	1453900726	0	188	188	188
Wed Jan 27 14:18:42 2016	1453900722	0	190	190	190
Wed Jan 27 14:19:33 2016	1453900773	0	191	191	191
Wed Jan 27 14:18:28 2016	1453900708	0	192	192	192
Wed Jan 27 14:18:08 2016	1453900688	0	192	192	192
Wed Jan 27 14:18:35 2016	1453900715	0	192	192	192
Wed Jan 27 14:18:10 2016	1453900690	0	192	192	192
Wed Jan 27 14:19:09 2016	1453900749	0	193	193	193
Wed Jan 27 14:19:43 2016	1453900783	0	194	194	194
Wed Jan 27 14:18:18 2016	1453900698	0	195	195	195
Wed Jan 27 14:19:17 2016	1453900757	0	197	197	196
Wed Jan 27 14:19:46 2016	1453900786	0	197	197	197
Wed Jan 27 14:19:26 2016	1453900766	0	197	197	197
Wed Jan 27 14:17:51 2016	1453900671	0	197	198	197
Wed Jan 27 14:17:58 2016	1453900678	0	198	198	198
Wed Jan 27 14:18:06 2016	1453900686	0	198	198	198
Wed Jan 27 14:18:08 2016	1453900688	0	200	200	199
Wed Jan 27 14:18:43 2016	1453900723	0	200	200	199
Wed Jan 27 14:18:42 2016	1453900722	0	200	200	200
Wed Jan 27 14:18:06 2016	1453900686	0	200	200	200
Wed Jan 27 14:18:05 2016	1453900685	0	200	200	200
Wed Jan 27 14:19:31 2016	1453900771	0	200	200	200
Wed Jan 27 14:19:38 2016	1453900778	0	200	201	200
Wed Jan 27 14:19:06 2016	1453900746	0	201	201	201
Wed Jan 27 14:18:13 2016	1453900693	0	202	202	202
Wed Jan 27 14:18:35 2016	1453900715	0	202	203	202
Wed Jan 27 14:19:41 2016	1453900781	0	203	203	203
Wed Jan 27 14:19:26 2016	1453900766	0	203	203	203
Wed Jan 27 14:17:47 2016	1453900667	0	203	203	203
Wed Jan 27 14:18:40 2016	1453900720	0	203	204	203
Wed Jan 27 14:17:59 2016	1453900679	0	203	204	203
Wed Jan 27 14:18:40 2016	1453900720	0	203	204	203
Wed Jan 27 14:19:26 2016	1453900766	0	203	204	203
Wed Jan 27 14:19:38 2016	1453900778	0	204	204	204
Wed Jan 27 14:18:24 2016	1453900704	0	204	204	204
Wed Jan 27 14:19:41 2016	1453900781	0	205	205	204
Wed Jan 27 14:17:47 2016	1453900667	0	205	205	205
Wed Jan 27 14:17:53 2016	1453900673	0	205	205	205
Wed Jan 27 14:19:02 2016	1453900742	0	205	205	205
